"filename", "language", "JSON", "Properties", "JavaScript", "Markdown", "XML", "CSS", "JavaScript JSX", "HTML", "Prisma", "MS SQL", "comment", "blank", "total"
"c:\Users\Acer\Informatics\FYP\Foodmate RM\.env", "Properties", 0, 9, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 10
"c:\Users\Acer\Informatics\FYP\Foodmate RM\admin\README.md", "Markdown", 0, 0, 0, 7, 0, 0, 0, 0, 0, 0, 0, 6, 13
"c:\Users\Acer\Informatics\FYP\Foodmate RM\admin\eslint.config.js", "JavaScript", 0, 0, 32, 0, 0, 0, 0, 0, 0, 0, 0, 2, 34
"c:\Users\Acer\Informatics\FYP\Foodmate RM\admin\index.html", "HTML", 0, 0, 0, 0, 0, 0, 0, 13, 0, 0, 0, 1, 14
"c:\Users\Acer\Informatics\FYP\Foodmate RM\admin\package-lock.json", "JSON", 4678, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 4679
"c:\Users\Acer\Informatics\FYP\Foodmate RM\admin\package.json", "JSON", 37, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 38
"c:\Users\Acer\Informatics\FYP\Foodmate RM\admin\postcss.config.js", "JavaScript", 0, 0, 6, 0, 0, 0, 0, 0, 0, 0, 0, 1, 7
"c:\Users\Acer\Informatics\FYP\Foodmate RM\admin\public\vite.svg", "XML", 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 1
"c:\Users\Acer\Informatics\FYP\Foodmate RM\admin\src\App.css", "CSS", 0, 0, 0, 0, 0, 37, 0, 0, 0, 0, 0, 6, 43
"c:\Users\Acer\Informatics\FYP\Foodmate RM\admin\src\App.jsx", "JavaScript JSX", 0, 0, 0, 0, 0, 0, 29, 0, 0, 0, 2, 4, 35
"c:\Users\Acer\Informatics\FYP\Foodmate RM\admin\src\assets\react.svg", "XML", 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 1
"c:\Users\Acer\Informatics\FYP\Foodmate RM\admin\src\components\AddMenu.jsx", "JavaScript JSX", 0, 0, 0, 0, 0, 0, 167, 0, 0, 0, 2, 24, 193
"c:\Users\Acer\Informatics\FYP\Foodmate RM\admin\src\components\AllReservationList.jsx", "JavaScript JSX", 0, 0, 0, 0, 0, 0, 140, 0, 0, 0, 1, 16, 157
"c:\Users\Acer\Informatics\FYP\Foodmate RM\admin\src\components\Card.jsx", "JavaScript JSX", 0, 0, 0, 0, 0, 0, 9, 0, 0, 0, 0, 3, 12
"c:\Users\Acer\Informatics\FYP\Foodmate RM\admin\src\components\CardContent.jsx", "JavaScript JSX", 0, 0, 0, 0, 0, 0, 5, 0, 0, 0, 0, 3, 8
"c:\Users\Acer\Informatics\FYP\Foodmate RM\admin\src\components\DeleteButton.jsx", "JavaScript JSX", 0, 0, 0, 0, 0, 0, 28, 0, 0, 0, 0, 6, 34
"c:\Users\Acer\Informatics\FYP\Foodmate RM\admin\src\components\Header.jsx", "JavaScript JSX", 0, 0, 0, 0, 0, 0, 38, 0, 0, 0, 2, 7, 47
"c:\Users\Acer\Informatics\FYP\Foodmate RM\admin\src\components\MenuList.jsx", "JavaScript JSX", 0, 0, 0, 0, 0, 0, 277, 0, 0, 0, 3, 20, 300
"c:\Users\Acer\Informatics\FYP\Foodmate RM\admin\src\components\OrderChart.jsx", "JavaScript JSX", 0, 0, 0, 0, 0, 0, 29, 0, 0, 0, 0, 3, 32
"c:\Users\Acer\Informatics\FYP\Foodmate RM\admin\src\components\OrderList.jsx", "JavaScript JSX", 0, 0, 0, 0, 0, 0, 153, 0, 0, 0, 0, 15, 168
"c:\Users\Acer\Informatics\FYP\Foodmate RM\admin\src\components\SideNavbar.jsx", "JavaScript JSX", 0, 0, 0, 0, 0, 0, 81, 0, 0, 0, 3, 5, 89
"c:\Users\Acer\Informatics\FYP\Foodmate RM\admin\src\components\Unauthorized.jsx", "JavaScript JSX", 0, 0, 0, 0, 0, 0, 14, 0, 0, 0, 0, 3, 17
